event_id,sample_id,event_status,event_timestamp,actor,message
EVT-000001,SMP-2026-00001,received,2026-03-02 04:00,ALPHA,manual review
EVT-000002,SMP-2026-00001,queued,2026-03-02 07:00,CHARLIE,retry after validation error
EVT-000003,SMP-2026-00001,processed,2026-03-03 05:00,ALPHA,automatic transition
EVT-000004,SMP-2026-00001,reviewed,04/03/2026 12:00,system,retry after validation error
EVT-000005,SMP-2026-00001,completed,05/03/2026 20:00,ALPHA,manual review
EVT-000006,SMP-2026-00002,received,2026-02-25 20:00,ALPHA,manual review
EVT-000007,SMP-2026-00002,queued,2026-02-27 05:00,ALPHA,
EVT-000008,SMP-2026-00002,processed,28/02/2026 03:00,DELTA,
EVT-000009,SMP-2026-00002,reviewed,01/03/2026 07:00,BRAVO,manual review
EVT-000010,SMP-2026-00002,completed,2026-03-02 15:00,CHARLIE,automatic transition
EVT-000011,SMP-2026-00003,received,2026-01-25 09:00,CHARLIE,automatic transition
EVT-000012,SMP-2026-00003,queued,2026-01-26 16:00,DELTA,external API update
EVT-000013,SMP-2026-00003,processed,2026-01-27 04:00,DELTA,automatic transition
EVT-000014,SMP-2026-00003,reviewed,2026-01-27 19:00,ALPHA,retry after validation error
EVT-000015,SMP-2026-00003,completed,27/01/2026 22:00,ALPHA,automatic transition
EVT-000016,SMP-2026-00004,received,28/02/2026 19:00,CHARLIE,external API update
EVT-000017,SMP-2026-00004,queued,2026-03-01 15:00,ALPHA,manual review
EVT-000018,SMP-2026-00004,processed,02/03/2026 19:00,system,external API update
EVT-000019,SMP-2026-00004,reviewed,2026-03-03 23:00,BRAVO,
EVT-000020,SMP-2026-00004,completed,04/03/2026 17:00,BRAVO,manual review
EVT-000021,SMP-2026-00005,received,2026-02-27 19:00,system,manual review
EVT-000022,SMP-2026-00005,processed,28/02/2026 09:00,CHARLIE,manual review
EVT-000023,SMP-2026-00005,queued,28/02/2026 16:00,ALPHA,manual review
EVT-000024,SMP-2026-00005,reviewed,02/03/2026 00:00,BRAVO,manual review
EVT-000025,SMP-2026-00005,completed,2026-03-02 08:00,system,external API update
EVT-000026,SMP-2026-00006,received,23/01/2026 03:00,ALPHA,manual review
EVT-000027,SMP-2026-00006,queued,23/01/2026 17:00,system,
EVT-000028,SMP-2026-00006,processed,2026-01-24 02:00,system,external API update
EVT-000029,SMP-2026-00006,reviewed,2026-01-24 15:00,CHARLIE,
EVT-000030,SMP-2026-00006,completed,24/01/2026 20:00,BRAVO,retry after validation error
EVT-000031,SMP-2026-00007,received,01/02/2026 04:00,DELTA,manual review
EVT-000032,SMP-2026-00007,queued,02/02/2026 04:00,system,retry after validation error
EVT-000033,SMP-2026-00007,processed,02/02/2026 09:00,CHARLIE,external API update
EVT-000034,SMP-2026-00007,reviewed,2026-02-03 18:00,ALPHA,external API update
EVT-000035,SMP-2026-00007,skipped,2026-02-04 12:00,BRAVO,
EVT-000036,SMP-2026-00008,received,19/03/2026 17:00,DELTA,external API update
EVT-000037,SMP-2026-00008,queued,2026-03-19 22:00,CHARLIE,external API update
EVT-000038,SMP-2026-00008,processed,20/03/2026 23:00,CHARLIE,external API update
EVT-000039,SMP-2026-00008,reviewed,2026-03-21 17:00,ALPHA,
EVT-000040,SMP-2026-00008,completed,2026-03-22 04:00,DELTA,
EVT-000041,SMP-2026-00009,received,12/03/2026 11:00,ALPHA,manual review
EVT-000042,SMP-2026-00009,queued,2026-03-13 05:00,ALPHA,automatic transition
EVT-000043,SMP-2026-00009,processed,2026-03-13 08:00,BRAVO,
EVT-000044,SMP-2026-00009,reviewed,13/03/2026 18:00,ALPHA,manual review
EVT-000045,SMP-2026-00009,completed,2026-03-13 22:00,ALPHA,external API update
EVT-000046,SMP-2026-00010,received,20/01/2026 15:00,system,external API update
